Starting new measurement at 08.May.2019 - 12:47:26
Time, Eurotherm2416, Keithley2000
6365.712,70.0,13.4700958
6381.01,70.1,13.3697726
6395.799,70.0,13.2683869
6410.597,69.9,13.2060694
6425.896,70.0,13.0969524
6440.684,69.9,13.0526468
6455.983,70.0,13.0394105
6470.771,69.7,13.0182889
6486.07,69.8,12.9277406
6500.858,69.9,12.9099957
6515.647,69.8,12.8384233
6530.945,70.0,12.8198245
6545.734,70.2,12.7780404
6561.032,70.0,12.7315563
6575.82,70.2,12.6844236
6591.119,70.0,12.6448306
6605.917,69.7,12.5747916
6620.706,69.9,12.5432299
6636.004,69.4,12.4993323
6650.803,69.5,12.4676711
6666.101,69.4,12.4971175
6680.89,69.4,12.3913704
6696.188,69.3,12.4137114
6710.976,69.1,12.3630179
6726.275,68.9,12.2670479
6741.063,68.7,12.2164672
6755.852,69.0,12.2119588
6771.15,68.5,12.1310086
6785.939,68.4,12.1648256
6801.237,68.4,12.0982561
6816.026,68.4,12.0823412
6831.324,68.1,12.0126554
6846.113,68.0,12.0566112
6860.901,67.7,11.9547955
6876.199,67.7,12.009416
6890.988,67.7,11.8795007
6906.286,67.2,11.885115
6921.075,67.4,11.8546858
6936.383,67.3,11.8694905
6951.172,66.9,11.8457826
6965.96,66.7,11.7497105
6981.259,66.9,11.7036324
6996.057,66.8,11.7120256
7011.356,66.5,11.7180946
7026.144,66.4,11.7286192
7041.442,66.4,11.6462819
7056.231,66.1,11.6102196
7071.529,66.0,11.5346166
7086.328,65.8,11.6223911
7101.126,65.8,11.5592311
7116.425,65.6,11.561887
7131.213,65.5,11.5456496
7146.512,65.6,11.5063908
7161.3,65.3,11.4793375
7176.089,64.9,11.4328107
7191.387,65.0,11.4814611
7206.175,64.8,11.463558
7221.474,65.0,11.4862312
7236.272,64.5,11.4318086
7251.571,64.7,11.3835888
7266.359,64.4,11.3721547
7281.658,64.3,11.4181587
7296.446,64.1,11.4150302
7311.245,64.1,11.3870994
7326.543,64.0,11.3340099
7341.332,63.8,11.3113816
7356.63,63.6,11.3213584
7371.418,63.7,11.2857914
7386.717,63.2,11.3068898
7401.505,63.3,11.2178481
7416.294,63.2,11.2314764
7431.592,63.1,11.2049245
7446.381,63.0,11.1649593
7461.679,63.0,11.1908804
7476.468,62.6,11.231325
7491.766,62.6,11.1293306
7506.554,62.3,11.1683514
7521.853,62.2,11.1378777
7536.641,62.1,11.1490619
7551.43,62.2,11.1332224
7566.728,61.9,11.0766539
7581.527,61.6,11.1117195
7596.825,61.6,11.1276447
7611.624,61.6,11.1083924
7626.922,61.3,11.0744856
7641.711,61.3,11.1400776
7656.499,61.2,11.092739
7671.797,60.9,11.081288
7686.586,61.0,11.0443557
7701.884,60.9,11.0081807
7716.683,60.8,11.0173021
7731.981,60.8,10.995986
7746.77,60.6,11.0285917
7761.568,60.4,11.0250138
7776.867,60.3,11.0465814
7791.655,60.3,11.0398187
7806.954,60.2,11.0870706
7821.742,59.9,10.9440664
7837.04,59.9,10.9858419
7851.839,59.8,10.9505454
7866.627,59.9,10.9982403
7881.926,59.5,10.966315
7896.724,59.5,10.9821148
7912.023,59.4,10.8919367
7926.811,59.4,10.9009641
7942.12,59.1,10.9283584
7956.908,59.1,10.9101472
7971.697,58.9,10.9474474
